Date,Country,Confirmed Cases,Recovered,Deaths
2020/03/01,Mexico,1,0,0
2020/03/01,Luxembourg,1,0,0
2020/03/01,Kuwait,3,0,0
2020/03/01,Netherlands,5,0,0
2020/03/01,Norway,10,0,0
2020/03/01,Pakistan,1,0,0
2020/03/01,Qatar,1,0,0
2020/03/01,United States,0,0,1
2020/03/01,United Kingdom,15,0,0
2020/03/01,Thailand,0,0,1
2020/03/01,Switzerland,9,0,0
2020/03/01,Sweden,1,0,0
2020/03/01,Korea,376,3,1
2020/03/01,Spain,17,0,0
2020/03/01,Singapore,4,3,0
2020/03/01,San Marino,1,0,0
2020/03/01,Malaysia,4,0,0
2020/03/01,Israel,1,0,0
2020/03/01,China,578,2854,35
2020/03/01,Brazil,1,0,0
2020/03/01,Belgium,1,0,0
2020/03/01,Canada,4,0,0
2020/03/01,Bahrain,3,0,0
2020/03/01,Austria,5,0,0
2020/03/01,Armenia,1,0,0
2020/03/01,Japan,10,19,0
2020/03/01,Croatia,2,0,0
2020/03/01,Azerbaijan,2,0,0
2020/03/01,Australia,3,0,1
2020/03/01,Greece,3,0,0
2020/03/01,France,43,1,0
2020/03/01,Georgia,1,0,0
2020/03/01,Germany,51,0,0
2020/03/01,Iran,385,52,11
2020/03/01,Italy,240,4,8
2020/03/01,Iraq,5,0,0
2020/03/01,Ireland,1,0,0
2020/03/01,Ecuador,1,0,0
2020/03/02,Netherlands,3,0,0
2020/03/02,Korea,809,0,5
2020/03/02,Mexico,1,0,0
2020/03/02,Pakistan,1,0,0
2020/03/02,Egypt,1,0,0
2020/03/02,Singapore,4,2,0
2020/03/02,Spain,26,0,0
2020/03/02,Thailand,1,3,0
2020/03/02,United Kingdom,1,0,0
2020/03/02,Japan,24,0,1
2020/03/02,Switzerland,3,0,0
2020/03/02,Australia,1,0,0
2020/03/02,Norway,2,0,0
2020/03/02,Indonesia,2,0,0
2020/03/02,Canada,4,0,0
2020/03/02,Austria,4,0,0
2020/03/02,Bahrain,6,0,0
2020/03/02,China,203,2681,42
2020/03/02,Czech Republic,3,0,0
2020/03/02,Italy,566,33,5
2020/03/02,Diamond Princess Cruise Ship,1,0,0
2020/03/02,Ecuador,5,0,0
2020/03/02,Andorra,1,0,0
2020/03/02,France,30,0,0
2020/03/02,Germany,13,0,0
2020/03/02,United States,14,0,0
2020/03/02,Iran,523,0,12
2020/03/02,Iraq,6,0,0
2020/03/02,Dominican Republic,1,0,0
2020/03/02,Finland,3,0,0
2020/03/03,Portugal,2,0,0
2020/03/03,Mexico,0,1,0
2020/03/03,Oman,6,1,0
2020/03/03,Norway,13,0,0
2020/03/03,Lebanon,7,0,0
2020/03/03,Morocco,1,0,0
2020/03/03,Malaysia,7,4,0
2020/03/03,Kuwait,10,0,0
2020/03/03,Qatar,6,0,0
2020/03/03,United Kingdom,15,0,0
2020/03/03,Korea,851,0,9
2020/03/03,Pakistan,1,0,0
2020/03/03,United States,23,0,5
2020/03/03,Ukraine,1,0,0
2020/03/03,Switzerland,19,2,0
2020/03/03,Sweden,6,0,0
2020/03/03,Senegal,1,0,0
2020/03/03,Spain,66,0,0
2020/03/03,Singapore,4,0,0
2020/03/03,Saudi Arabia,1,0,0
2020/03/03,Japan,15,0,0
2020/03/03,Belarus,2,0,0
2020/03/03,Czech Republic,2,0,0
2020/03/03,China,128,2591,33
2020/03/03,Jordan,1,0,0
2020/03/03,Croatia,2,0,0
2020/03/03,Australia,11,0,0
2020/03/03,Netherlands,14,0,0
2020/03/03,Belgium,11,0,0
2020/03/03,Denmark,3,0,0
2020/03/03,India,3,0,0
2020/03/03,Iceland,8,0,0
2020/03/03,Iran,835,260,11
2020/03/03,Germany,66,0,0
2020/03/03,Italy,342,66,18
2020/03/04,Korea,435,11,2
2020/03/04,New Zealand,1,0,0
2020/03/04,Norway,1,0,0
2020/03/04,Latvia,1,0,0
2020/03/04,Malaysia,14,0,0
2020/03/04,Liechtenstein,1,0,0
2020/03/04,Poland,1,0,0
2020/03/04,Romania,1,1,0
2020/03/04,United States,22,0,3
2020/03/04,United Arab Emirates,6,0,0
2020/03/04,Tunisia,1,0,0
2020/03/04,Switzerland,12,0,0
2020/03/04,Sweden,11,0,0
2020/03/04,Spain,15,0,1
2020/03/04,China,121,2564,36
2020/03/04,Chile,1,0,0
2020/03/04,Canada,6,0,0
2020/03/04,Belarus,1,0,0
2020/03/04,Bahrain,2,0,0
2020/03/04,Australia,1,6,0
2020/03/04,Argentina,1,0,0
2020/03/04,Austria,10,0,0
2020/03/04,Denmark,4,0,0
2020/03/04,Italy,466,11,27
2020/03/04,Ireland,1,0,0
2020/03/04,Iraq,13,0,1
2020/03/04,Iran,586,117,15
2020/03/04,India,9,0,0
2020/03/04,Iceland,5,0,0
2020/03/04,Germany,44,0,0
2020/03/04,France,82,0,2
2020/03/04,Ecuador,1,0,0
2020/03/04,Japan,15,5,0
2020/03/05,Singapore,2,5,0
2020/03/05,Norway,23,0,0
2020/03/05,United States,31,0,2
2020/03/05,Oman,3,0,0
2020/03/05,Korea,467,0,3
2020/03/05,New Zealand,1,0,0
2020/03/05,Lebanon,5,1,0
2020/03/05,Netherlands,14,0,0
2020/03/05,Mexico,1,0,0
2020/03/05,United Arab Emirates,1,0,0
2020/03/05,Thailand,4,0,0
2020/03/05,Switzerland,8,0,0
2020/03/05,United Kingdom,34,0,0
2020/03/05,Senegal,3,0,0
2020/03/05,Sweden,22,0,0
2020/03/05,Spain,64,0,0
2020/03/05,Slovenia,1,0,0
2020/03/05,Saudi Arabia,1,0,0
2020/03/05,San Marino,9,0,0
2020/03/05,Russia,1,0,0
2020/03/05,Romania,2,0,0
2020/03/05,Portugal,3,0,0
2020/03/05,Greece,3,0,0
2020/03/05,China,157,2307,32
2020/03/05,Chile,2,0,0
